scope,name,bytes,path
generated_claude,psyche-distillation,3162,/home/li/primary/.claude/skills/psyche-distillation/SKILL.md
generated_claude,psyche-grasp,780,/home/li/primary/.claude/skills/psyche-grasp/SKILL.md
generated_claude,psyche-interraction,5271,/home/li/primary/.claude/skills/psyche-interraction/SKILL.md
generated_claude,realization,355,/home/li/primary/.claude/skills/realization/SKILL.md
generated_claude,refresh,3721,/home/li/primary/.claude/skills/refresh/SKILL.md
generated_claude,repository-lifecycle,598,/home/li/primary/.claude/skills/repository-lifecycle/SKILL.md
generated_claude,secrets,713,/home/li/primary/.claude/skills/secrets/SKILL.md
generated_claude,skill-designing,3919,/home/li/primary/.claude/skills/skill-designing/SKILL.md
generated_claude,spirit,1649,/home/li/primary/.claude/skills/spirit/SKILL.md
generated_claude,subflow,994,/home/li/primary/.claude/skills/subflow/SKILL.md
generated_claude,subflow-scripts,2694,/home/li/primary/.claude/skills/subflow-scripts/SKILL.md
generated_claude,testing,1656,/home/li/primary/.claude/skills/testing/SKILL.md
generated_claude,testing-commit-scope,727,/home/li/primary/.claude/skills/testing-commit-scope/SKILL.md
generated_claude,testing-datom-messaging,2569,/home/li/primary/.claude/skills/testing-datom-messaging/SKILL.md
generated_claude,testing-flashbook,1674,/home/li/primary/.claude/skills/testing-flashbook/SKILL.md
generated_claude,testing-flashbook-illustration,1048,/home/li/primary/.claude/skills/testing-flashbook-illustration/SKILL.md
generated_claude,testing-flow-titles,796,/home/li/primary/.claude/skills/testing-flow-titles/SKILL.md
generated_claude,testing-generated-projection,955,/home/li/primary/.claude/skills/testing-generated-projection/SKILL.md
generated_claude,testing-long-run-progress,1178,/home/li/primary/.claude/skills/testing-long-run-progress/SKILL.md
generated_claude,testing-message-route,1199,/home/li/primary/.claude/skills/testing-message-route/SKILL.md
generated_claude,testing-push-landed,818,/home/li/primary/.claude/skills/testing-push-landed/SKILL.md
generated_claude,transcript-search,683,/home/li/primary/.claude/skills/transcript-search/SKILL.md
generated_claude,versioning,256,/home/li/primary/.claude/skills/versioning/SKILL.md
generated_claude,visual-report-from-md,2691,/home/li/primary/.claude/skills/visual-report-from-md/SKILL.md
generated_claude,vocabulary,1788,/home/li/primary/.claude/skills/vocabulary/SKILL.md
generated_claude,voice-psyche,808,/home/li/primary/.claude/skills/voice-psyche/SKILL.md
